iShares Nasdaq Biotechnology ETF
Inception Date,"Feb 5, 2001"
Fund Holdings as of,"08-Jun-2016"
Total Net Assets,"$6,783,203,690"
Shares Outstanding,"24,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"OSIR","OSIRIS THERAPEUTICS INC.","Equity","0.0330","5.05","451,656","$2,280,863","2,280,862.80","Health Care","B17W931","US68827R1086","NASDAQ"
"ECYT","ENDOCYTE INC","Equity","0.0327","4.11","550,396","$2,262,128","2,262,127.56","Health Care","B40DYZ9","US29269A1025","NASDAQ"
"ADVM","ADVERUM BIOTECHNOLOGIES INC","Equity","0.0327","4.17","540,861","$2,255,390","2,255,390.37","Health Care","BD6NXD7","US00773U1088","NASDAQ"
"OCUL","OCULAR THERAPEUTIX INC","Equity","0.0319","6.80","324,386","$2,205,825","2,205,824.80","Health Care","BNZB1X8","US67576A1007","NASDAQ"
"CARA","CARA THERAPEUTICS INC","Equity","0.0316","6.12","357,097","$2,185,434","2,185,433.64","Health Care","BJ4YJ92","US1407551092","NASDAQ"
"NEOS","NEOS THERAPEUTICS INC","Equity","0.0310","10.25","209,162","$2,143,911","2,143,910.50","Health Care","BYN6897","US64052L1061","NASDAQ"
"TTPH","TETRAPHASE PHARMACEUTICALS INC","Equity","0.0297","4.27","479,855","$2,048,981","2,048,980.85","Health Care","B9BB071","US88165N1054","NASDAQ"
"TKAI","TOKAI PHARMACEUTICALS INC","Equity","0.0293","6.82","296,377","$2,021,291","2,021,291.14","Health Care","BQQG1T9","US88907J1079","NASDAQ"
"EGLT","EGALET CORP CORP","Equity","0.0289","6.09","328,166","$1,998,531","1,998,530.94","Health Care","BJ8S1F0","US28226B1044","NASDAQ"
"ADHD","ALCOBRA LTD","Equity","0.0288","5.54","358,958","$1,988,627","1,988,627.32","Health Care","B7F7C64","IL0011280240","NASDAQ"
"ANTH","ANTHERA PHARMACEUTICALS INC","Equity","0.0283","3.73","523,195","$1,951,517","1,951,517.35","Health Care","BCCGJT1","US03674U2015","NASDAQ"
"AQXP","AQUINOX PHARMACEUTICALS INC","Equity","0.0261","7.97","225,813","$1,799,730","1,799,729.61","Health Care","BK8G355","US03842B1017","NASDAQ"
"SQNM","SEQUENOM INC.","Equity","0.0245","1.09","1,554,376","$1,694,270","1,694,269.84","Health Care","B16CJ10","US8173374054","NASDAQ"
"AFMD","AFFIMED NV","Equity","0.0237","3.75","436,428","$1,636,605","1,636,605.00","Health Care","BQQF5R2","NL0010872420","NASDAQ"
"ONTY","ONCOTHYREON INC.","Equity","0.0220","1.21","1,253,263","$1,516,448","1,516,448.23","Health Care","2106047","US6823241087","NASDAQ"
"USD","USD CASH","Cash","0.0212","100.00","1,466,226","$1,466,226","1,466,226.29","Cash and/or Derivatives","-","-","-"
"KMPH","KEM PHARM INC","Equity","0.0198","7.23","189,590","$1,370,736","1,370,735.70","Health Care","BWTVWB2","US4884451075","NASDAQ"
"OREX","OREXIGEN THERAPEUTICS INC.","Equity","0.0178","0.64","1,922,301","$1,230,080","1,230,080.41","Health Care","B1WLCZ6","US6861641040","NASDAQ"
"CHMA","CHIASMA INC","Equity","0.0152","3.35","313,813","$1,051,274","1,051,273.55","Health Care","BY7QFH0","US16706W1027","NASDAQ"
"DRNA","DICERNA PHARMACEUTICALS INC","Equity","0.0149","3.81","270,880","$1,032,053","1,032,052.80","Health Care","BJ62Z07","US2530311081","NASDAQ"
"LIFE","ATYR PHARMA INC","Equity","0.0145","3.22","310,314","$999,211","999,211.08","Health Care","BX7RSM2","US0021201035","NASDAQ"
"DNAI","PRONAI THERAPEUTICS INC","Equity","0.0116","2.04","393,839","$803,432","803,431.56","Health Care","BZ223M1","US74346L1017","NASDAQ"
"AEGR","AEGERION PHARMACEUTICALS INC.","Equity","0.0088","1.60","379,492","$607,187","607,187.20","Health Care","B1YWPY7","US00767E1029","NASDAQ"
 
